schema_version,profile_id,profile_build_id,reference_release_id,poet_id,poet_name,poem_id,title,relative_path,source_sha256,content_token_count,coordinate_1,coordinate_2,vad_valence_mean,vad_valence_sd,vad_arousal_mean,vad_arousal_sd,vad_dominance_mean,vad_dominance_sd,emotion_anger_proportion,emotion_anticipation_proportion,emotion_disgust_proportion,emotion_fear_proportion,emotion_joy_proportion,emotion_sadness_proportion,emotion_surprise_proportion,emotion_trust_proportion,concreteness_mean,concreteness_sd,lexical_rarity_mean,age_of_acquisition_mean,mattr,hdd,mtld,mean_content_word_length,noun_proportion,verb_proportion,adjective_proportion,adverb_proportion,mean_words_per_line,sd_words_per_line,mean_words_per_stanza,mean_lines_per_stanza,vad_valence_mean__eligible,vad_valence_sd__eligible,vad_arousal_mean__eligible,vad_arousal_sd__eligible,vad_dominance_mean__eligible,vad_dominance_sd__eligible,emotion_anger_proportion__eligible,emotion_anticipation_proportion__eligible,emotion_disgust_proportion__eligible,emotion_fear_proportion__eligible,emotion_joy_proportion__eligible,emotion_sadness_proportion__eligible,emotion_surprise_proportion__eligible,emotion_trust_proportion__eligible,concreteness_mean__eligible,concreteness_sd__eligible,lexical_rarity_mean__eligible,age_of_acquisition_mean__eligible,mattr__eligible,hdd__eligible,mtld__eligible,mean_content_word_length__eligible,noun_proportion__eligible,verb_proportion__eligible,adjective_proportion__eligible,adverb_proportion__eligible,mean_words_per_line__eligible,sd_words_per_line__eligible,mean_words_per_stanza__eligible,mean_lines_per_stanza__eligible,vad_valence_mean__matched,vad_valence_sd__matched,vad_arousal_mean__matched,vad_arousal_sd__matched,vad_dominance_mean__matched,vad_dominance_sd__matched,emotion_anger_proportion__matched,emotion_anticipation_proportion__matched,emotion_disgust_proportion__matched,emotion_fear_proportion__matched,emotion_joy_proportion__matched,emotion_sadness_proportion__matched,emotion_surprise_proportion__matched,emotion_trust_proportion__matched,concreteness_mean__matched,concreteness_sd__matched,lexical_rarity_mean__matched,age_of_acquisition_mean__matched,mattr__matched,hdd__matched,mtld__matched,mean_content_word_length__matched,noun_proportion__matched,verb_proportion__matched,adjective_proportion__matched,adverb_proportion__matched,mean_words_per_line__matched,sd_words_per_line__matched,mean_words_per_stanza__matched,mean_lines_per_stanza__matched
1.0,versemap-standard-profile-1.0,versemap-profile-build-1.1.0,versemap-reference-d9969e023145ab13,edgar-allan-poe,Edgar Allan Poe,edgar-allan-poe-1185beb31de694bf,A Dream within a Dream,Edgar Allan Poe/A Dream within a Dream.txt,e71d9f35bd3f297babd09a09afa072fe5a772872047a51f871b0a97598503553,38,-0.280388887952,0.100698160082,0.55025,0.266955120169,0.449394736842,0.213765801444,0.467289473684,0.20131458204,0.0263157894737,0.0789473684211,0,0.0263157894737,0.0789473684211,0.0789473684211,0.0526315789474,0.0526315789474,3.4772972973,1.00557539975,2.54516060421,6.05235159459,,,47.2956060606,4.57894736842,0.578947368421,0.289473684211,0.105263157895,0.0263157894737,5.875,0.725287299397,70.5,12,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,24,24,2,2,38,38,38,38,38,38,31,31,31,31,31,31,31,31,37,37,38,37,38,38,38,38,38,38,38,38,24,24,2,2
1.0,versemap-standard-profile-1.0,versemap-profile-build-1.1.0,versemap-reference-d9969e023145ab13,edgar-allan-poe,Edgar Allan Poe,edgar-allan-poe-d996bf649a054bd4,A Dream,Edgar Allan Poe/A Dream.txt,6428e801b42f7e7d2a16cadb99ea39c8edb10ace57f22a409285d99e901683d1,44,-0.317975078948,-0.111135220501,0.639948717949,0.245159728018,0.434525641026,0.209193964366,0.526487179487,0.18492006198,0.0681818181818,0.0909090909091,0.0227272727273,0.0454545454545,0.113636363636,0.113636363636,0.0454545454545,0.0909090909091,3.19404761905,0.962719509969,2.39871440924,6.02102825581,,0.823492399074,67.76,4.77272727273,0.545454545455,0.227272727273,0.159090909091,0.0681818181818,6.0625,1.34483967446,24.25,4,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,16,16,4,4,40,40,40,40,40,40,38,38,38,38,38,38,38,38,42,42,44,43,44,44,44,44,44,44,44,44,16,16,4,4
1.0,versemap-standard-profile-1.0,versemap-profile-build-1.1.0,versemap-reference-d9969e023145ab13,edgar-allan-poe,Edgar Allan Poe,edgar-allan-poe-a20bc585e4ec3352,A Pæan,Edgar Allan Poe/A Pæan.txt,938f68567313f1e181b210fa9b6b729e0b467e4d0b46c922e3d61f51c46d27d0,100,-0.181016055676,-0.374672541148,0.555728915663,0.318186183857,0.489114457831,0.196149612883,0.471951807229,0.206392312924,0.04,0.09,0.04,0.07,0.17,0.16,0.02,0.11,3.10755555556,0.953868510751,2.42486987079,6.41153704494,0.822352941176,0.865352849981,112,4.72,0.43,0.25,0.21,0.11,5.84090909091,1.34744171434,21.4166666667,3.66666666667,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,44,44,12,12,85,85,85,85,85,85,63,63,63,63,63,63,63,63,90,90,96,89,100,100,100,100,100,100,100,100,44,44,12,12
1.0,versemap-standard-profile-1.0,versemap-profile-build-1.1.0,versemap-reference-d9969e023145ab13,edgar-allan-poe,Edgar Allan Poe,edgar-allan-poe-610f374cd5098b6c,A Valentine,Edgar Allan Poe/A Valentine.txt,338c3111db543a4bf513f24dfaa69dcab488405987cac656fa0409dae77a2ba4,65,0.146010164942,-0.101738570992,0.609964285714,0.20055164674,0.418705357143,0.163190696316,0.483607142857,0.161687052067,0.0923076923077,0.0615384615385,0.0615384615385,0.0461538461538,0.0615384615385,0.0615384615385,0.0769230769231,0.0769230769231,3.22344262295,1.04430365103,2.82110935392,6.90096019298,0.90625,0.933669108669,197.166666667,5.4,0.461538461538,0.338461538462,0.107692307692,0.0923076923077,7.9,2.09523268398,158,20,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,20,20,1,1,56,56,56,56,56,56,50,50,50,50,50,50,50,50,61,61,62,57,65,65,65,65,65,65,65,65,20,20,1,1
1.0,versemap-standard-profile-1.0,versemap-profile-build-1.1.0,versemap-reference-d9969e023145ab13,edgar-allan-poe,Edgar Allan Poe,edgar-allan-poe-c42ded3b98b6e85e,Al Aaraaf,Edgar Allan Poe/Al Aaraaf.txt,f4a8a90b76a07552ded0a553613a9314750991c405f21f4d8f9e4df43856727b,1218,0.0868886035014,0.166119664218,0.596369688385,0.231540869475,0.448934844193,0.203911984115,0.497868271955,0.170432644972,0.0361247947455,0.0977011494253,0.0155993431856,0.0509031198686,0.115763546798,0.0771756978654,0.051724137931,0.0853858784893,3.50926511628,1.01798547961,2.78499269539,6.47149772026,0.92624465355,0.955473997633,387.060915464,5.11494252874,0.564860426929,0.220853858785,0.163382594417,0.0509031198686,6.75177304965,1.78841568502,114.24,16.92,1218,1218,1218,1218,1218,1218,1218,1218,1218,1218,1218,1218,1218,1218,1218,1218,1218,1218,1218,1218,1218,1218,1218,1218,1218,1218,423,423,25,25,1063,1063,1063,1063,1063,1063,873,873,873,873,873,873,873,873,1075,1075,1153,1076,1218,1218,1218,1218,1218,1218,1218,1218,423,423,25,25
1.0,versemap-standard-profile-1.0,versemap-profile-build-1.1.0,versemap-reference-d9969e023145ab13,edgar-allan-poe,Edgar Allan Poe,edgar-allan-poe-2161e646d1ddda05,Alone,Edgar Allan Poe/Alone.txt,4b79bae7c3aed22358cb4d38a6c041daff37451a4818e697c743fa04319026ab,51,-0.0121929660798,0.0602908461885,0.639191489362,0.263297149365,0.460212765957,0.220356378292,0.505063829787,0.16892027633,0.078431372549,0.117647058824,0.0392156862745,0.156862745098,0.176470588235,0.078431372549,0.0980392156863,0.0980392156863,3.38306122449,0.91230411167,2.51927408424,6.30167127083,0.95,0.951764705882,242.76,4.94117647059,0.647058823529,0.176470588235,0.156862745098,0.0196078431373,6.16666666667,1.81811868577,49.3333333333,8,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,24,24,3,3,47,47,47,47,47,47,45,45,45,45,45,45,45,45,49,49,49,48,51,51,51,51,51,51,51,51,24,24,3,3
1.0,versemap-standard-profile-1.0,versemap-profile-build-1.1.0,versemap-reference-d9969e023145ab13,edgar-allan-poe,Edgar Allan Poe,edgar-allan-poe-0cc8c3f928e05dd3,An Enigma,Edgar Allan Poe/An Enigma.txt,1d4c6cf7a7481868d864ff90bd48ad9f89f934d10f43ee78b8c6b70377701397,39,0.504476874849,-0.109245495342,0.531971428571,0.225671725644,0.407657142857,0.166070199074,0.458085714286,0.211451327926,0.025641025641,0.0512820512821,0.0512820512821,0.025641025641,0.025641025641,0.0769230769231,0.025641025641,0.0769230769231,3.1165625,1.06127461507,3.06973390033,7.74252414286,,,,5.79487179487,0.461538461538,0.102564102564,0.25641025641,0.179487179487,7.28571428571,1.48461497792,102,14,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,14,14,1,1,35,35,35,35,35,35,27,27,27,27,27,27,27,27,32,32,38,35,39,39,39,39,39,39,39,39,14,14,1,1
1.0,versemap-standard-profile-1.0,versemap-profile-build-1.1.0,versemap-reference-d9969e023145ab13,edgar-allan-poe,Edgar Allan Poe,edgar-allan-poe-0c5e16ce4dc4efd5,Annabel Lee,Edgar Allan Poe/Annabel Lee.txt,398d2d33f7156310e877cdba2a545ea08f5e5bebf7e7067d3da7903818ef0943,99,-0.65151028385,-0.26702699599,0.686053571429,0.244754237984,0.463666666667,0.17902472783,0.574517857143,0.159403098764,0.030303030303,0.0808080808081,0.020202020202,0.020202020202,0.212121212121,0.040404040404,0.020202020202,0.0606060606061,3.15150537634,1.12057199894,2.17147514232,5.73448320213,0.7248,0.770746025702,22.9042372881,4.83838383838,0.525252525253,0.222222222222,0.141414141414,0.111111111111,7.2380952381,2.28670613401,43.4285714286,6,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,42,42,7,7,85,85,85,85,85,85,68,68,68,68,68,68,68,68,93,93,96,94,99,99,99,99,99,99,99,99,42,42,7,7
1.0,versemap-standard-profile-1.0,versemap-profile-build-1.1.0,versemap-reference-d9969e023145ab13,edgar-allan-poe,Edgar Allan Poe,edgar-allan-poe-b57f5a8db3e83d94,Bridal Ballad,Edgar Allan Poe/Bridal Ballad.txt,d5af649ebb872c0546eadf6d5bd0043b1404a94e709eea766c6955d4592fc692,58,-0.0760716938486,-0.24068380798,0.593307017544,0.271051991426,0.488228070175,0.188550590498,0.517877192982,0.172739949582,0.120689655172,0.155172413793,0.0344827586207,0.0689655172414,0.189655172414,0.120689655172,0.0172413793103,0.189655172414,3.20814814815,1.03436699926,2.64115580522,6.47280963636,0.844444444444,0.863169766981,94.192,4.89655172414,0.431034482759,0.362068965517,0.189655172414,0.0172413793103,5.74193548387,0.87869925625,35.6,6.2,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,31,31,5,5,57,57,57,57,57,57,49,49,49,49,49,49,49,49,54,54,58,55,58,58,58,58,58,58,58,58,31,31,5,5
1.0,versemap-standard-profile-1.0,versemap-profile-build-1.1.0,versemap-reference-d9969e023145ab13,edgar-allan-poe,Edgar Allan Poe,edgar-allan-poe-a7360fc2385be60c,Dreamland,Edgar Allan Poe/Dreamland.txt,892c7ca6491c91a72b113cdae2ee9cb547a9a446a54c6efedc32323ebffa4f75,150,0.35385576013,0.0413920434026,0.520510948905,0.236723586593,0.429937956204,0.198285768906,0.451952554745,0.178527583622,0.04,0.0733333333333,0.08,0.12,0.04,0.146666666667,0.0466666666667,0.06,3.31056338028,1.14605740254,3.14351579706,7.17922781343,0.84099009901,0.922144566152,170.27027027,5.18,0.4,0.22,0.273333333333,0.106666666667,5.85714285714,1.04246567995,41,7,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,56,56,8,8,138,138,138,138,138,138,114,114,114,114,114,114,114,114,142,142,146,134,150,150,150,150,150,150,150,150,56,56,8,8
